Major,Most_Used_Social_Media,Age,Creativity_Score,Creativity_Percentile,Year,Semester,Section,BirthMonth,Biosex,Height_in_Inches,Number_of_Languages_Spoken,Extroversion,Agreeableness,Openness,Conscientiousness,Neuroticism,How_Many_Siblings,Birth_Order,Oldest_Child
"Fisheries, Range and Wildlife Management",Discord,25,90.26,96.67,2025,WIN,D,April,F,73,1,0,35,44,29,100,2,1,1
"Fisheries, Range and Wildlife Management",Instagram,24,76.1,38.83,2025,WIN,D,April,M,75,1,27,81,54,67,62.5,4,2,0
Psychology,Instagram,19,84.97,85.18,2025,WIN,D,April,F,67,1,29,48,85,62.5,60,2,1,1
Psychology,Instagram,22,81.58,70.39,2025,WIN,D,April,F,67,1,40,58,73,37.5,71,4,5,0
Psychology,None,24,88.93,94.91,2025,WIN,D,April,M,74,2,69,65,40,83,58,3,3,0
Computer Science,YouTube,22,93.01,98.77,2025,WIN,D,August,M,71,3,42,56,62.5,67,58,5,4,0
Computer Engineering,Discord,26,88.13,93.53,2025,WIN,D,August,M,76,2,90,69,92,48,27,8,2,0
Computer Engineering,YouTube,23,84.12,82.04,2025,WIN,D,August,M,70,1,67,69,83,67,77,5,2,0
Data Science,NA,23,87.35,91.91,2025,WIN,D,August,M,72,2,72,50,98,92,44,3,1,1
"Fisheries, Range and Wildlife Management",Instagram,25,74.66,30.85,2025,WIN,D,August,F,68,1,85,62.5,81,35,58,3,2,0
Geology,Instagram,26,81.33,69.08,2025,WIN,D,August,M,69,1,54,56,73,52,52,7,6,0
Psychology,NA,19,80.71,65.77,2025,WIN,D,August,F,68,1,56,54,67,83,33,5,1,1
Software Engineering,YouTube,23,90.32,96.74,2025,WIN,D,August,M,70,2,69,67,96,42,65,4,2,0
Biology,Instagram,19,88.8,94.71,2025,WIN,D,December,F,63,1,29,81,85,42,79,3,1,1
Business Management,Snapchat,24,73.39,24.51,2025,WIN,D,December,M,73,1,69,65,62.5,75,40,9,1,1
Computer Engineering,Instagram,21,80.53,64.76,2025,WIN,D,December,F,64.8,2,65,81,71,65,46,3,3,0
Computer Science,Instagram,25,80.81,66.27,2025,WIN,D,December,M,67,3,50,69,50,54,56,2,3,0
"Fisheries, Range and Wildlife Management",YouTube,19,74.71,31.12,2025,WIN,D,December,F,63,1,42,62.5,69,37.5,44,6,5,0
Geology,Facebook,28,82.37,74.35,2025,WIN,D,December,M,74,1,73,75,77,60,35,4,1,1
Geology,Facebook,24,81.76,71.34,2025,WIN,D,December,M,72,1,29,52,48,62.5,62.5,8,3,0
Public Administration,Facebook,50,90.04,96.43,2025,WIN,D,December,F,66,3,87.5,75,69,96,19,2,2,0
Physics,NA,NA,73.31,24.13,2025,WIN,D,December,M,71,2,92,69,94,52,40,1,1,1
Math Education,Instagram,18,80.3,63.44,2025,WIN,D,February,F,63,1,92,83,69,37.5,10,4,3,0
Physics,YouTube,18,77.77,48.61,2025,WIN,D,February,F,67,1.5,33,75,87.5,48,62.5,2,1,1
Psychology,TikTok,18,78.05,50.27,2025,WIN,D,February,F,64,2,19,92,75,58,83,0,1,1
Psychology,TikTok,22,84.33,82.82,2025,WIN,D,February,F,66,1,69,58,79,35,62.5,3,3,0
Psychology,Instagram,18,84.29,82.67,2025,WIN,D,February,F,61,1,71,75,77,35,42,4,3,0
Data Science,YouTube,22,88.28,93.82,2025,WIN,D,February,M,68,2,23,67,81,85,50,3,3,0
Mathematics,Snapchat,21,88.85,94.78,2025,WIN,D,February,F,62,1,65,75,83,46,27,6,3,0
Data Science,Pinterest,25,79.28,57.57,2025,WIN,D,January,F,64,1,46,71,65,81,29,3,1,1
"Fisheries, Range and Wildlife Management",NA,20,81.49,69.96,2025,WIN,D,January,M,74,2,33,92,71,48,52,3,2,0
"Fisheries, Range and Wildlife Management",Instagram,19,75.88,37.56,2025,WIN,D,January,F,59,2,19,79,48,56,50,2,3,0
Psychology,Instagram,21,71.6,16.9,2025,WIN,D,January,M,65,1,60,60,85,48,15,3,2,0
Psychology,Instagram,21,86.45,89.7,2025,WIN,D,January,F,65,2,31,69,46,58,50,2,2,0
Psychology,TikTok,19,82.18,73.43,2025,WIN,D,January,F,64,1,92,87.5,77,52,46,4,4,0
Psychology,YouTube,22,93.18,98.85,2025,WIN,D,January,M,75,3,50,77,73,65,33,3,2,0
NA,NA,NA,NA,NA,2025,WIN,D,January,M,72,1,60,56,56,58,77,3,1,1
