nameFirst,nameLast,yearID,lgID,teamID,batting_average
Hank,Aaron,1954,NL,ML1,0.2799145299145299
Hank,Aaron,1955,NL,ML1,0.313953488372093
Hank,Aaron,1956,NL,ML1,0.3284072249589491
Hank,Aaron,1957,NL,ML1,0.32195121951219513
Hank,Aaron,1958,NL,ML1,0.3261231281198003
Hank,Aaron,1959,NL,ML1,0.35453100158982515
Hank,Aaron,1960,NL,ML1,0.29152542372881357
Hank,Aaron,1961,NL,ML1,0.32669983416252074
Hank,Aaron,1962,NL,ML1,0.32263513513513514
Hank,Aaron,1963,NL,ML1,0.3185419968304279
Hank,Aaron,1964,NL,ML1,0.3280701754385965
Hank,Aaron,1965,NL,ML1,0.3175438596491228
Hank,Aaron,1966,NL,ATL,0.27860696517412936
Hank,Aaron,1967,NL,ATL,0.30666666666666664
Hank,Aaron,1968,NL,ATL,0.2871287128712871
Hank,Aaron,1969,NL,ATL,0.29981718464351004
Hank,Aaron,1970,NL,ATL,0.29844961240310075
Hank,Aaron,1971,NL,ATL,0.32727272727272727
Hank,Aaron,1972,NL,ATL,0.2650334075723831
Hank,Aaron,1973,NL,ATL,0.3010204081632653
Hank,Aaron,1974,NL,ATL,0.2676470588235294
Hank,Aaron,1975,AL,ML4,0.23440860215053763
Hank,Aaron,1976,AL,ML4,0.22878228782287824
Tommie,Aaron,1962,NL,ML1,0.23053892215568864
Tommie,Aaron,1963,NL,ML1,0.2
Tommie,Aaron,1968,NL,ATL,0.24381625441696114
Ed,Abbaticchio,1903,NL,BSN,0.22699386503067484
Ed,Abbaticchio,1904,NL,BSN,0.2556131260794473
Ed,Abbaticchio,1905,NL,BSN,0.2786885245901639
Ed,Abbaticchio,1907,NL,PIT,0.2620967741935484
Ed,Abbaticchio,1908,NL,PIT,0.25
Ed,Abbaticchio,1910,NL,BSN,0.24719101123595505
Charlie,Abbey,1893,NL,WAS,0.25862068965517243
Charlie,Abbey,1894,NL,WAS,0.3135755258126195
Charlie,Abbey,1895,NL,WAS,0.2751937984496124
Charlie,Abbey,1896,NL,WAS,0.26245847176079734
Charlie,Abbey,1897,NL,WAS,0.26
Fred,Abbott,1903,AL,CLE,0.23529411764705882
Fred,Abbott,1904,AL,CLE,0.16923076923076924
Fred,Abbott,1905,NL,PHI,0.1953125
Jeff,Abbott,1998,AL,CHA,0.2786885245901639
Jeff,Abbott,2000,AL,CHA,0.2744186046511628
Kurt,Abbott,1994,NL,FLO,0.2492753623188406
Kurt,Abbott,1995,NL,FLO,0.25476190476190474
Kurt,Abbott,1996,NL,FLO,0.253125
Kurt,Abbott,1997,NL,FLO,0.27380952380952384
Kurt,Abbott,1998,AL,OAK,0.2682926829268293
Kurt,Abbott,1999,NL,COL,0.2727272727272727
Kurt,Abbott,2000,NL,NYN,0.21656050955414013
Reggie,Abercrombie,2006,NL,FLO,0.21176470588235294
Brent,Abernathy,2001,AL,TBA,0.26973684210526316
Brent,Abernathy,2002,AL,TBA,0.24190064794816415
Cliff,Aberson,1947,NL,CHN,0.2785714285714286
Shawn,Abner,1989,NL,SDN,0.17647058823529413
Shawn,Abner,1990,NL,SDN,0.24456521739130435
Shawn,Abner,1991,AL,CAL,0.22772277227722773
Shawn,Abner,1991,NL,SDN,0.16521739130434782
Shawn,Abner,1992,AL,CHA,0.27884615384615385
Cal,Abrams,1951,NL,BRO,0.28
Cal,Abrams,1952,NL,CIN,0.27848101265822783
Cal,Abrams,1953,NL,PIT,0.2857142857142857
Cal,Abrams,1954,AL,BAL,0.29314420803782504
Cal,Abrams,1955,AL,BAL,0.24271844660194175
CJ,Abrams,2022,NL,SDN,0.232
CJ,Abrams,2022,NL,WAS,0.2578616352201258
CJ,Abrams,2023,NL,WAS,0.24511545293072823
CJ,Abrams,2024,NL,WAS,0.24584103512014788
Bobby,Abreu,1997,NL,HOU,0.25
Bobby,Abreu,1998,NL,PHI,0.3118712273641851
Bobby,Abreu,1999,NL,PHI,0.33516483516483514
Bobby,Abreu,2000,NL,PHI,0.3159722222222222
Bobby,Abreu,2001,NL,PHI,0.2891156462585034
Bobby,Abreu,2002,NL,PHI,0.3076923076923077
Bobby,Abreu,2003,NL,PHI,0.29982668977469673
Bobby,Abreu,2004,NL,PHI,0.30139372822299654
Bobby,Abreu,2005,NL,PHI,0.2857142857142857
Bobby,Abreu,2006,AL,NYA,0.33014354066985646
Bobby,Abreu,2006,NL,PHI,0.27728613569321536
Bobby,Abreu,2007,AL,NYA,0.28264462809917357
Bobby,Abreu,2008,AL,NYA,0.2955665024630542
Bobby,Abreu,2009,AL,LAA,0.29307282415630553
Bobby,Abreu,2010,AL,LAA,0.2547993019197208
Bobby,Abreu,2011,AL,LAA,0.25298804780876494
Bobby,Abreu,2012,NL,LAN,0.24615384615384617
Bobby,Abreu,2014,NL,NYN,0.24812030075187969
Jose,Abreu,2014,AL,CHA,0.31654676258992803
Jose,Abreu,2015,AL,CHA,0.2903752039151713
Jose,Abreu,2016,AL,CHA,0.2932692307692308
Jose,Abreu,2017,AL,CHA,0.30434782608695654
Jose,Abreu,2018,AL,CHA,0.26452905811623245
Jose,Abreu,2019,AL,CHA,0.28391167192429023
Jose,Abreu,2020,AL,CHA,0.31666666666666665
Jose,Abreu,2021,AL,CHA,0.26148409893992935
Jose,Abreu,2022,AL,CHA,0.30449251247920134
Jose,Abreu,2023,AL,HOU,0.23703703703703705
Jose,Abreu,2024,AL,HOU,0.12389380530973451
Tony,Abreu,2007,NL,LAN,0.2710843373493976
Tony,Abreu,2010,NL,ARI,0.23316062176165803
Tony,Abreu,2013,NL,SFN,0.26811594202898553
Wilyer,Abreu,2024,AL,BOS,0.2531328320802005
Bill,Abstein,1909,NL,PIT,0.259765625
Dustin,Ackley,2011,AL,SEA,0.2732732732732733
Dustin,Ackley,2012,AL,SEA,0.2257001647446458
Dustin,Ackley,2013,AL,SEA,0.2526041666666667
Dustin,Ackley,2014,AL,SEA,0.2450199203187251
Dustin,Ackley,2015,AL,SEA,0.21505376344086022
Merito,Acosta,1915,AL,WS1,0.2085889570552147
Merito,Acosta,1918,AL,PHA,0.30177514792899407
Ronald,Acuña,2018,NL,ATL,0.29330254041570436
Ronald,Acuña,2019,NL,ATL,0.2795527156549521
Ronald,Acuña,2020,NL,ATL,0.25
Ronald,Acuña,2021,NL,ATL,0.2828282828282828
Ronald,Acuña,2022,NL,ATL,0.26552462526766596
Ronald,Acuña,2023,NL,ATL,0.33748055987558323
Ronald,Acuña,2024,NL,ATL,0.25
Jerry,Adair,1961,AL,BAL,0.26424870466321243
Jerry,Adair,1962,AL,BAL,0.2843866171003718
Jerry,Adair,1963,AL,BAL,0.22774869109947643
Jerry,Adair,1964,AL,BAL,0.2478031634446397
Jerry,Adair,1965,AL,BAL,0.25945017182130586
Jerry,Adair,1966,AL,CHA,0.24324324324324326
Jerry,Adair,1967,AL,BOS,0.2911392405063291
Jerry,Adair,1968,AL,BOS,0.21634615384615385
Jerry,Adair,1969,AL,KCA,0.25
Cristhian,Adames,2016,NL,COL,0.21777777777777776
Willy,Adames,2018,AL,TBA,0.2777777777777778
Willy,Adames,2019,AL,TBA,0.2542372881355932
Willy,Adames,2020,AL,TBA,0.2594594594594595
Willy,Adames,2021,NL,MIL,0.28493150684931506
Willy,Adames,2021,AL,TBA,0.19696969696969696
Willy,Adames,2022,NL,MIL,0.23801065719360567
Willy,Adames,2023,NL,MIL,0.21699819168173598
Willy,Adames,2024,NL,MIL,0.25081967213114753
Babe,Adams,1911,NL,PIT,0.2524271844660194
Babe,Adams,1913,NL,PIT,0.2894736842105263
Bert,Adams,1917,NL,PHI,0.205607476635514
Bert,Adams,1918,NL,PHI,0.1762114537444934
Bert,Adams,1919,NL,PHI,0.23275862068965517
Bobby,Adams,1946,NL,CIN,0.24437299035369775
Bobby,Adams,1947,NL,CIN,0.271889400921659
Bobby,Adams,1948,NL,CIN,0.29770992366412213
Bobby,Adams,1949,NL,CIN,0.2527075812274368
Bobby,Adams,1950,NL,CIN,0.28160919540229884
Bobby,Adams,1951,NL,CIN,0.2655086848635236
Bobby,Adams,1952,NL,CIN,0.282574568288854
Bobby,Adams,1953,NL,CIN,0.2751235584843493
Bobby,Adams,1954,NL,CIN,0.2692307692307692
Bobby,Adams,1955,NL,CIN,0.2733333333333333
Bobby,Adams,1956,AL,BAL,0.22522522522522523
Bobby,Adams,1957,NL,CHN,0.25133689839572193
Buster,Adams,1943,NL,PHI,0.25598086124401914
Buster,Adams,1944,NL,PHI,0.2825342465753425
Buster,Adams,1945,NL,SLN,0.29238754325259514
Buster,Adams,1946,NL,SLN,0.18497109826589594
Buster,Adams,1947,NL,PHI,0.24725274725274726
David,Adams,2013,AL,NYA,0.19285714285714287
